page_id;name;urlslug;ID;ALIGN;EYE;HAIR;SEX;GSM;ALIVE;APPEARANCES;FIRST APPEARANCE;YEAR
1482;Jean Loring (New Earth);\/wiki\/Jean_Loring_(New_Earth);Public Identity;Bad Characters;Green Eyes;Black Hair;Female Characters;;Deceased Characters;168;"1961; October";1961
7585;Oberon (New Earth);\/wiki\/Oberon_(New_Earth);Public Identity;;Blue Eyes;White Hair;Male Characters;;Living Characters;167;"1971; April";1971
2612;Grant Emerson (New Earth);\/wiki\/Grant_Emerson_(New_Earth);Public Identity;Good Characters;Blue Eyes;Black Hair;Male Characters;;Deceased Characters;166;"1994; April";1994
3473;Rita Farr (New Earth);\/wiki\/Rita_Farr_(New_Earth);Secret Identity;Good Characters;Brown Eyes;Brown Hair;Female Characters;;Living Characters;166;"1963; June";1963
3719;Jason Rusch (New Earth);\/wiki\/Jason_Rusch_(New_Earth);Secret Identity;Good Characters;Brown Eyes;Black Hair;Male Characters;;Living Characters;165;"2004; July";2004
1679;Hector Hall (New Earth);\/wiki\/Hector_Hall_(New_Earth);Secret Identity;Good Characters;Blue Eyes;White Hair;Male Characters;;Deceased Characters;165;"1983; September";1983
10969;Mercury (New Earth);\/wiki\/Mercury_(New_Earth);Secret Identity;Good Characters;Photocellular Eyes;;Male Characters;;Living Characters;165;"1962; April";1962
4637;Jaime Reyes (New Earth);\/wiki\/Jaime_Reyes_(New_Earth);Secret Identity;Good Characters;Brown Eyes;Black Hair;Male Characters;;Living Characters;164;"2006; February";2006
9652;Platinum (New Earth);\/wiki\/Platinum_(New_Earth);Secret Identity;Good Characters;Photocellular Eyes;;Female Characters;;Living Characters;164;"1962; April";1962
11609;Andre Chavard (New Earth);\/wiki\/Andre_Chavard_(New_Earth);Public Identity;Good Characters;;Brown Hair;Male Characters;;Living Characters;164;"1942; June";1942
11871;Daniel Leong (New Earth);\/wiki\/Daniel_Leong_(New_Earth);Secret Identity;Good Characters;Black Eyes;Black Hair;Male Characters;;Deceased Characters;164;"1942; February";1942
13463;Vril Dox II (New Earth);\/wiki\/Vril_Dox_II_(New_Earth);Public Identity;Good Characters;Green Eyes;Blond Hair;Male Characters;;Living Characters;163;"1964; February";1964
12225;"Roy Raymond; Sr. (New Earth)";"\/wiki\/Roy_Raymond;_Sr._(New_Earth)";Public Identity;Good Characters;Blue Eyes;Brown Hair;Male Characters;;Living Characters;163;"1949; November";1949
1798;Uncle Sam (New Earth);\/wiki\/Uncle_Sam_(New_Earth);Secret Identity;;Blue Eyes;White Hair;Male Characters;;Living Characters;162;"1940; July";1940
1858;Metron (New Earth);\/wiki\/Metron_(New_Earth);Secret Identity;Neutral Characters;Blue Eyes;Black Hair;Male Characters;;Deceased Characters;161;"1971; March";1971
9655;Iron (New Earth);\/wiki\/Iron_(New_Earth);Secret Identity;Good Characters;Photocellular Eyes;;Male Characters;;Living Characters;161;"1962; April";1962
9656;Lead (New Earth);\/wiki\/Lead_(New_Earth);Secret Identity;Good Characters;Photocellular Eyes;;Male Characters;;Living Characters;161;"1962; April";1962
1709;Lucas Carr (New Earth);\/wiki\/Lucas_Carr_(New_Earth);Public Identity;;Blue Eyes;Brown Hair;Male Characters;;Living Characters;161;"1960; March";1960
1597;Hartley Rathaway (New Earth);\/wiki\/Hartley_Rathaway_(New_Earth);Secret Identity;Good Characters;Blue Eyes;Red Hair;Male Characters;Homosexual Characters;Living Characters;160;"1959; May";1959
1450;Lana Lang (New Earth);\/wiki\/Lana_Lang_(New_Earth);Public Identity;Good Characters;Green Eyes;Red Hair;Female Characters;;Living Characters;159;"1986; October";1986
4430;Rose Wilson (New Earth);\/wiki\/Rose_Wilson_(New_Earth);Secret Identity;Good Characters;Blue Eyes;White Hair;Female Characters;;Living Characters;158;"1992; October";1992
2755;DeSaad (New Earth);\/wiki\/DeSaad_(New_Earth);Public Identity;Bad Characters;Black Eyes;Black Hair;Male Characters;;Living Characters;158;"1971; May";1971
31787;Charles Taine (Pre-Zero Hour);\/wiki\/Charles_Taine_(Pre-Zero_Hour);Secret Identity;Good Characters;Black Eyes;Black Hair;Male Characters;;Living Characters;158;"1961; May";1961
1463;Bane (New Earth);\/wiki\/Bane_(New_Earth);Secret Identity;Bad Characters;Brown Eyes;Brown Hair;Male Characters;;Living Characters;157;"1993; January";1993
2766;Salakk (New Earth);\/wiki\/Salakk_(New_Earth);Secret Identity;Good Characters;White Eyes;;Male Characters;;Living Characters;155;"1982; February";1982
9653;Tin (New Earth);\/wiki\/Tin_(New_Earth);Secret Identity;Good Characters;Photocellular Eyes;;Male Characters;;Living Characters;155;"1962; April";1962
17885;Samuel Morgan (New Earth);\/wiki\/Samuel_Morgan_(New_Earth);;Good Characters;;Red Hair;Male Characters;;Deceased Characters;155;"1937; March";1937
8734;Eve Eden (New Earth);\/wiki\/Eve_Eden_(New_Earth);Secret Identity;Neutral Characters;Blue Eyes;Blond Hair;Female Characters;;Living Characters;154;"1966; September";1966
1469;Harleen Quinzel (New Earth);\/wiki\/Harleen_Quinzel_(New_Earth);Public Identity;Bad Characters;Blue Eyes;Blond Hair;Female Characters;;Living Characters;153;"1999; October";1999
1835;Benjamin Turner (New Earth);\/wiki\/Benjamin_Turner_(New_Earth);Secret Identity;Neutral Characters;Brown Eyes;Black Hair;Male Characters;;Living Characters;153;"1975; May";1975
3656;Mark Mardon (New Earth);\/wiki\/Mark_Mardon_(New_Earth);Secret Identity;Bad Characters;Blue Eyes;Black Hair;Male Characters;;Living Characters;152;"1960; January";1960
1558;Teth-Adam (New Earth);\/wiki\/Teth-Adam_(New_Earth);Secret Identity;Neutral Characters;Brown Eyes;Black Hair;Male Characters;;Living Characters;152;"1945; December";1945
5315;Catherine Grant (New Earth);\/wiki\/Catherine_Grant_(New_Earth);Public Identity;Good Characters;Blue Eyes;Blond Hair;Female Characters;;Living Characters;151;"1987; January";1987
1699;Terrence Sloane (New Earth);\/wiki\/Terrence_Sloane_(New_Earth);Secret Identity;Good Characters;Blue Eyes;Brown Hair;Male Characters;;Deceased Characters;151;"1942; January";1942
51559;Jason Blood (New Earth);\/wiki\/Jason_Blood_(New_Earth);Public Identity;Good Characters;Blue Eyes;Red Hair;Male Characters;;Living Characters;148;"1972; September";1972
9654;Gold (New Earth);\/wiki\/Gold_(New_Earth);Secret Identity;Good Characters;Photocellular Eyes;;Male Characters;;Living Characters;147;"1962; April";1962
1708;Victor Fries (New Earth);\/wiki\/Victor_Fries_(New_Earth);Secret Identity;Bad Characters;Blue Eyes;;Male Characters;;Living Characters;143;"1959; February";1959
12024;Thomas Wayne (New Earth);\/wiki\/Thomas_Wayne_(New_Earth);Public Identity;Good Characters;Brown Eyes;Brown Hair;Male Characters;;Deceased Characters;142;"1987; February";1987
1840;Arthur Light (New Earth);\/wiki\/Arthur_Light_(New_Earth);Public Identity;Bad Characters;Black Eyes;Black Hair;Male Characters;;Deceased Characters;142;"1962; June";1962
37939;Lester Davis (New Earth);\/wiki\/Lester_Davis_(New_Earth);Public Identity;Good Characters;;Black Hair;Male Characters;;Living Characters;142;"1957; February";1957
